CMO_NUMSTATES	CMO_SIZE	LEVEL	LOCALE15	PVI2017	PVI2014	RLAPROF_1516	MTHPROF_1516	ess_strength	prog_strength	SD_lv_PVI_2014	SD_lv_PVI_2017	POP_DENSE_SD	PCT_AGE65_SD	PCT_WHITE_SD	PCT_HSONLY_SD	PCT_BA_SD	PCT_UNEMPLOYED_SD	MEDIAN_INCOME	PER_CAPITA_INCOME	Gini Index	PCT_POVERTY_SD	PCT_CHILDPOV_SD	PCT_FROMABROAD_SD	PCT_FOREIGN_SD	PCT_NONCITIZEN_SD	PCT_NOINSURANCE_SD	close_rate15	close_rate16	MEMBER	TITLEI	FTE	YEAR_CLOSED	PCTETH	AGE	PCTFRL	PLACE	PROG_COUNT	RIT_COUNT	ESS_COUNT	ESS_STR	PROG_STR	RIT_STR	NUMWORDS	PROG_NORM	ESS_NORM	RIT_NORM	PCT_CHILDPOV_SAIPE16	high_ess	high_prog	high_both	low_both
2.0	8433.0	3	City (large)	-31.0	-28.0	43.0	16.0	0.07493073123720034	0.11649198891699795	-28.0	-31.0																0.0	0.0	563.0	Yes	36.66		0.9720149253731343	14.0	0.7033582089552238	City	6	14	0	-6.0	-2.081587315813503	-1.7154063751807997	729	0.8100108796690516	0.0	0.876679839006529		0	1	0	0
		1	Rural (remote)	12.0	6.0	64.0	69.0			6.0	12.0																0.0	0.0	125.0	Yes	12.75		0.04878048780487805	8.0	0.5691056910569106	Rural	7	10	0	-6.0	-2.207595901910711	-2.0523090996473234	1131	0.7839624937799469	0.0	0.8077454540661985		0	1	0	0
		1	City (midsize)	-7.0	-4.0	67.0	58.0	0.11635331677899965	0.30117062788222776	-4.875	-8.125																0.0	0.0	436.0	NaN	17.86		0.39436619718309857	9.0	0.3004694835680751	City	29	5	0	-6.0	-1.9941198599063066	-2.7613263224214566	2889	0.8280920764729843	0.0	0.6626719280463971		0	1	0	0
		4	Suburb (large)	0.0	0.0	54.0	29.0	0.0	0.0	0.0	0.0	2974.0759999999996	15.31	84.43	22.52	20.93	7.27	63754.0	31665.0	0.4125	7.25	12.24	0.25	10.43	4.12	9.68	0.0	0.0	434.0	No	15.3		0.1411764705882353	11.0	-0.002352941176470588	Suburb	1	4	0	-6.0	-2.2576785748691846	-1.6580113966571124	182	0.7736094469599964	0.0	0.8884235479642374	0.10526592114243713	0	1	0	0
		1	Suburb (large)	-40.0	-37.0					-37.0	-40.0	7354.302	14.31	48.67	12.75	30.68	6.39	83048.0	45590.0	0.4602	6.86	10.61	0.91	26.58	8.64	7.28	0.045454545454545456	0.0					0.6805555555555556	0.0		Suburb	2	6	0	-6.0	-2.1583624920952498	-1.6797306463503485	289	0.7941399816577986	0.0	0.8839795259654855	0.09992944081848651	0	1	0	0
1.0																											0.0	0.2						-1.0			13	1	0	-6.0	-1.1783127190496394	-2.292256071356476	196	0.9967350227538696	0.0	0.7586493924678338	0.324468085106383	0	1	0	0
		1	Rural (fringe)	7.0	9.0	74.0	79.0	0.08823529411764706	0.19117647058823528	8.709677419354838	6.774193548387097	463.934	23.2	83.38	33.46	14.69	7.8	42240.0	24834.0	0.4639	11.08	25.41	0.55	7.35	3.05	15.39	0.0	0.03225806451612903	222.0	No	13.0		0.02575107296137339	4.0	0.08583690987124463	Rural	3	8	0	-6.0	-2.2095150145426308	-1.7826517516103202	486	0.7835657764771883	0.0	0.8629206191261015	0.1828200220404849	0	1	0	0
1.0		1	City (large)	-15.0	-11.0	70.0	69.0	0.09859154929577464	0.18309859154929573	-10.407766990291265	-14.368932038834956	4313.245	13.11	76.24	30.89	8.73	8.47	32047.0	17076.0	0.4829	25.56	44.05	0.42	15.83	11.08	24.05	0.0392156862745098	0.03	749.0	Yes	42.5		0.9361702127659575	17.0	0.8377659574468085	City	3	8	0	-6.0	-2.238882088915137	-1.8129133566428555	520	0.7774950402727605	0.0	0.8567287275837334	0.3359503794988982	0	1	0	0
44.0	8789.0	1	City (large)	-29.0	-25.0	72.0	77.0	0.6365713827526761	0.1029547367999038	-13.25925925925926	-17.333333333333332																0.08	0.0	831.0	Yes	34.87		0.9988151658767772	1.0	0.9182464454976303	City	4	11	0	-6.0	-2.2380461031287955	-1.7980853622159734	692	0.7776678545311764	0.0	0.8597627151459721		0	1	0	0
44.0	8789.0	3	City (large)	-29.0	-25.0	67.0	64.0	0.6431209053007743	0.10212428032559064	-13.25925925925926	-17.333333333333332																0.08	0.0	462.0	Yes	27.26		0.9940239043824701	1.0	0.7609561752988048	City	5	13	0	-6.0	-2.1271047983648077	-1.7127791678621553	672	0.8006015450600409	0.0	0.8772173974988453		0	1	0	0
